Trial  Epoch   LepIsoRank  MetPhiRank  MLLRank  ScoreRank  StatsScore     MLLKS     MetPhiKS  LepIsoKS  SortKey
29     68500   11468       1401        865      11609      2245.549417    0.099673  0.018533  0.573500  2266.000000
54     64500   9063        1104        1168     13192      3273.305136    0.108335  0.016307  0.496600  2272.000000
37     51000   13366       531         1743     9972       1617.718683    0.121245  0.011631  0.665000  2274.000000
54     19500   7828        2105        174      14243      4651.988663    0.069436  0.023536  0.461728  2279.000000
16     12500   13607       382         1901     12671      2850.788649    0.124329  0.010231  0.681756  2283.000000
8      87000   5934        261         2027     9288       1414.318189    0.126474  0.009242  0.411300  2288.000000
23     39000   7030        1424        872      15688      28735.317054   0.099894  0.018700  0.439851  2296.000000
29     73000   12302       182         2117     14714      5813.064870    0.128280  0.008388  0.608200  2299.000000
54     86000   12981       1557        750      14671      5696.635012    0.096495  0.019779  0.643100  2307.000000
57     66000   5775        2312        35       5369       578.772333     0.049678  0.024830  0.407000  2347.000000
12     18000   11415       1840        544      11826      2348.989910    0.089268  0.021772  0.571105  2384.000000
18     36500   4168        2163        221      832        193.110216     0.072638  0.023847  0.362700  2384.000000
45     94000   7909        537         1847     15778      59482.215588   0.123409  0.011712  0.464278  2384.000000
21     49500   81          957         1436     1033       207.612390     0.114703  0.015191  0.193400  2393.000000
30     4000    12249       840         1559     14113      4431.028916    0.117483  0.014346  0.605900  2399.000000
56     67500   8014        420         1984     11835      2352.119472    0.125796  0.010602  0.467400  2404.000000
23     41000   13193       640         1772     13893      4114.519388    0.121912  0.012757  0.655100  2412.000000
54     93000   14595       1659        777      11272      2096.900337    0.097148  0.020444  0.773000  2436.000000
37     57000   14054       7           2453     13014      3122.590378    0.134805  0.004984  0.716500  2460.000000
61     65500   5756        1161        1333     4689       479.831047     0.112006  0.016658  0.406500  2494.000000
24     42000   15183       909         1595     14268      4691.563421    0.118204  0.014853  0.867271  2504.000000
79     59000   14959       1053        1451     7860       1065.553866    0.115120  0.015931  0.827000  2504.000000
9      36500   8631        733         1773     7103       905.579281     0.121930  0.013507  0.484500  2506.000000
11     18000   11407       1753        758      8247       1153.060087    0.096745  0.021093  0.571016  2511.000000
54     26500   9505        2019        497      14203      4563.400234    0.087237  0.022935  0.509300  2516.000000
63     28000   2766        327         2194     6118       705.790032     0.129914  0.009860  0.324200  2521.000000
23     87000   10593       1472        1056     15095      7476.793714    0.105313  0.019099  0.543291  2528.000000
24     65500   7818        775         1762     14092      4393.161673    0.121592  0.013881  0.461348  2537.000000
54     84000   6349        1307        1254     13678      3802.055277    0.110404  0.017798  0.421800  2561.000000
29     20000   14922       1937        629      15045      7216.614618    0.092220  0.022342  0.821232  2566.000000
23     22500   15101       610         1980     15580      15706.034954   0.125751  0.012510  0.849170  2590.000000
29     9500    13278       1040        1558     14576      5378.669244    0.117436  0.015830  0.660600  2598.000000
52     86000   1339        981         1621     3115       333.789698     0.118700  0.015346  0.275607  2602.000000
23     52500   9698        2185        421      15519      13199.257868   0.084345  0.024012  0.514700  2606.000000
44     17500   14532       2124        487      12957      3062.973617    0.086827  0.023666  0.765772  2611.000000
79     73500   6177        1044        1608     5529       602.630326     0.118444  0.015856  0.417500  2652.000000
43     81500   14239       813         1843     10872      1939.680210    0.123330  0.014150  0.731900  2656.000000
18     28500   1446        2410        269      3235       342.672715     0.075929  0.025510  0.279500  2679.000000
24     41000   13929       2033        661      15255      8636.068082    0.093337  0.023039  0.707537  2694.000000
24     61000   14497       2557        150      15456      11458.794908   0.067331  0.026444  0.762160  2707.000000
44     21000   12777       1015        1697     13957      4200.339887    0.120339  0.015636  0.630962  2712.000000
24     56500   13849       1448        1267     15325      9369.171913    0.110744  0.018878  0.700900  2715.000000
